"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"264";"BTCUSD";"Comprar";"2024.03.02 10:00:00";"61940.24";"0.10000";"2024.03.02 16:00:00";"61783.30";"-15.69";"18696.91";"IST";"Exit After X Bars";"-37.39";"23.62";"6h 0m";""
"987";"BTCUSD";"Comprar";"2024.03.02 10:00:00";"61942.60";"0.10000";"2024.03.02 10:15:00";"61942.60";"0.00";"18712.60";"IST";"MoveSL2BE";"0.00";"8.33";"15m 0s";""
"988";"BTCUSD";"Vender";"2024.03.02 10:00:00";"61855.40";"0.10000";"2024.03.02 12:00:00";"61855.40";"0.00";"18712.60";"IST";"MoveSL2BE";"-20.78";"4.17";"2h 0m";""
"991";"BTCUSD";"Vender";"2024.03.02 15:15:00";"61820.00";"0.10000";"2024.03.02 16:00:00";"61820.00";"0.00";"18696.91";"IST";"MoveSL2BE";"-15.90";"10.01";"45m 0s";""
"265";"BTCUSD";"Comprar";"2024.03.02 16:45:00";"61836.88";"0.10000";"2024.03.02 22:45:00";"61821.30";"-1.56";"18695.35";"IST";"Exit After X Bars";"-8.76";"36.43";"6h 0m";""
"992";"BTCUSD";"Comprar";"2024.03.02 16:45:00";"61838.30";"0.10000";"2024.03.02 17:00:00";"61838.30";"0.00";"18696.91";"IST";"MoveSL2BE";"0.00";"8.34";"15m 0s";""
"993";"BTCUSD";"Vender";"2024.03.03 08:45:00";"61590.20";"0.10000";"2024.03.03 09:00:00";"61590.20";"0.00";"18695.35";"IST";"MoveSL2BE";"0.00";"5.31";"15m 0s";""
"266";"BTCUSD";"Comprar";"2024.03.03 09:00:00";"61622.50";"0.10000";"2024.03.03 15:00:00";"62080.30";"45.78";"18741.13";"IST";"Exit After X Bars";"-3.17";"97.24";"6h 0m";""
"996";"BTCUSD";"Vender";"2024.03.03 10:00:00";"61652.20";"0.10000";"2024.03.03 10:15:00";"61652.20";"0.00";"18695.35";"IST";"MoveSL2BE";"0.00";"6.13";"15m 0s";""
"997";"BTCUSD";"Vender";"2024.03.03 10:45:00";"61700.90";"0.10000";"2024.03.03 11:15:00";"61700.90";"0.00";"18695.35";"IST";"MoveSL2BE";"0.00";"10.52";"30m 0s";""
"1004";"BTCUSD";"Comprar";"2024.03.04 11:30:00";"65018.30";"0.10000";"2024.03.04 12:00:00";"65018.30";"0.00";"18741.13";"IST";"MoveSL2BE";"-3.49";"21.43";"30m 0s";""
"1005";"BTCUSD";"Comprar";"2024.03.04 12:15:00";"65018.30";"0.10000";"2024.03.04 12:30:00";"65018.30";"0.00";"18741.13";"IST";"MoveSL2BE";"0.00";"8.25";"15m 0s";""
"1006";"BTCUSD";"Comprar";"2024.03.04 12:45:00";"64983.40";"0.10000";"2024.03.04 14:00:00";"64983.40";"0.00";"18741.13";"IST";"MoveSL2BE";"0.00";"63.31";"1h 15m";""
"1010";"BTCUSD";"Vender";"2024.03.05 11:30:00";"66711.10";"0.10000";"2024.03.05 12:00:00";"66711.10";"0.00";"18741.13";"IST";"MoveSL2BE";"0.00";"24.57";"30m 0s";""
"273";"BTCUSD";"Comprar";"2024.03.05 12:00:00";"66870.96";"0.10000";"2024.03.05 15:00:00";"68810.22";"193.93";"18935.05";"IST";"PT";"-6.94";"193.93";"3h 0m";""
"1014";"BTCUSD";"Comprar";"2024.03.05 14:15:00";"67619.20";"0.10000";"2024.03.05 15:00:00";"67619.20";"0.00";"18935.05";"IST";"MoveSL2BE";"-34.56";"153.85";"45m 0s";""
"1016";"BTCUSD";"Comprar";"2024.03.06 09:00:00";"67081.70";"0.10000";"2024.03.06 09:30:00";"66612.13";"-46.96";"18888.10";"IST";"SL";"-46.96";"23.79";"30m 0s";""
